               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.039812,            0.044541,            0.028324,             0.69209,             0.29029,             0.31529,             0.17059,            0.042351,            0.070414,            0.027816,            0.070199,           0.0033113,           0.0033113
                   1,            0.044546,            0.045031,             0.02856,             0.60256,              0.2937,             0.29296,             0.15616,             0.04376,            0.071652,             0.02811,            0.040089,            0.006535,            0.006535
                   2,             0.04835,            0.045582,            0.028397,             0.57775,             0.30205,             0.28603,             0.13703,            0.047657,            0.071654,            0.028392,           0.0098694,           0.0096487,           0.0096487
                   3,            0.048219,            0.044615,            0.028024,             0.60628,             0.29774,             0.29741,              0.1551,            0.045062,            0.072463,            0.028441,            0.009505,            0.009505,            0.009505
                   4,             0.04742,            0.045736,            0.027718,             0.64965,             0.29689,              0.2995,             0.15074,            0.045941,            0.070578,            0.028292,            0.009505,            0.009505,            0.009505
                   5,            0.045513,            0.046577,             0.02684,             0.58724,             0.30318,             0.29053,             0.15572,            0.045656,            0.073962,            0.030854,             0.00934,             0.00934,             0.00934
                   6,             0.04429,            0.045047,            0.026124,             0.63183,             0.31672,              0.3142,             0.17068,            0.043571,            0.072141,            0.028819,            0.009175,            0.009175,            0.009175
                   7,            0.043977,            0.045158,            0.025722,             0.63381,             0.31585,             0.32589,             0.17022,            0.043004,            0.072634,            0.029021,             0.00901,             0.00901,             0.00901
                   8,            0.043532,            0.044095,            0.024865,              0.6049,             0.28899,             0.31081,             0.15506,            0.046499,            0.076146,            0.027849,            0.008845,            0.008845,            0.008845
                   9,            0.043574,            0.044816,            0.024477,             0.61215,             0.32584,             0.31762,             0.17263,            0.041866,            0.072556,            0.027731,             0.00868,             0.00868,             0.00868
                  10,            0.042604,            0.045741,             0.02414,             0.61477,             0.30523,             0.30762,             0.15618,            0.046306,             0.07246,            0.026121,            0.008515,            0.008515,            0.008515
                  11,            0.042832,            0.044526,            0.023786,              0.6615,             0.30332,              0.3121,             0.17264,            0.043543,             0.07927,            0.026713,             0.00835,             0.00835,             0.00835
                  12,            0.042213,            0.045376,            0.023315,             0.60598,             0.35227,             0.33264,             0.18495,             0.04161,            0.071918,            0.026682,            0.008185,            0.008185,            0.008185
                  13,              0.0422,            0.045517,            0.022977,             0.65928,             0.31794,             0.32455,             0.17979,            0.041936,            0.072882,            0.027746,             0.00802,             0.00802,             0.00802
                  14,             0.04172,            0.044425,            0.022224,             0.64059,             0.35089,             0.34811,             0.18413,            0.044087,            0.074193,            0.026735,            0.007855,            0.007855,            0.007855
