               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.039812,            0.044541,            0.028324,             0.69209,             0.29029,             0.31529,             0.17059,            0.042351,            0.070414,            0.027816,            0.070199,           0.0033113,           0.0033113
                   1,            0.044514,            0.045027,            0.028564,              0.6131,             0.29007,              0.2959,              0.1563,            0.044012,            0.071656,            0.028061,            0.040133,           0.0065788,           0.0065788
                   2,            0.048495,            0.045627,            0.028433,             0.59003,             0.29966,              0.2937,             0.14265,            0.047509,            0.071616,            0.028518,            0.010001,           0.0097804,           0.0097804
                   3,            0.048309,            0.044719,            0.028072,             0.63763,             0.29556,             0.29819,             0.14855,            0.045965,            0.073566,            0.028563,            0.009703,            0.009703,            0.009703
                   4,            0.047587,            0.045902,            0.027796,             0.60927,             0.27967,              0.2875,              0.1425,            0.047328,            0.072658,            0.029698,            0.009703,            0.009703,            0.009703
                   5,            0.045919,            0.046784,            0.026835,             0.61734,             0.29878,             0.29556,             0.15605,            0.045671,            0.076182,            0.030359,            0.009604,            0.009604,            0.009604
                   6,            0.044598,            0.045135,            0.026253,             0.62743,             0.31094,             0.31428,             0.16062,            0.043872,             0.07241,            0.029827,            0.009505,            0.009505,            0.009505
                   7,            0.044261,             0.04543,            0.025945,             0.62692,             0.30964,             0.32794,             0.17705,            0.043225,            0.072538,            0.028152,            0.009406,            0.009406,            0.009406
                   8,            0.043918,            0.044305,            0.024964,             0.60686,             0.33185,             0.32587,             0.17398,             0.04293,            0.074131,            0.027879,            0.009307,            0.009307,            0.009307
                   9,            0.043717,            0.045124,            0.024762,             0.64739,             0.30204,             0.31829,             0.15904,            0.044376,            0.072343,            0.028784,            0.009208,            0.009208,            0.009208
                  10,            0.043341,            0.046039,            0.024383,             0.59438,             0.31247,             0.31856,             0.17002,            0.042613,            0.073395,            0.028197,            0.009109,            0.009109,            0.009109
                  11,            0.042975,            0.044849,            0.024028,             0.61704,             0.30636,               0.307,             0.15958,            0.046592,             0.08074,            0.029058,             0.00901,             0.00901,             0.00901
                  12,            0.043036,            0.045717,            0.023622,             0.60575,             0.32281,             0.32181,             0.17862,            0.042296,            0.073581,            0.026637,            0.008911,            0.008911,            0.008911
                  13,            0.042426,            0.045882,            0.023038,             0.64654,             0.31702,             0.31271,             0.16457,            0.044163,            0.073452,            0.026947,            0.008812,            0.008812,            0.008812
                  14,            0.042265,            0.044688,            0.022309,             0.66275,             0.32468,             0.35058,             0.19562,            0.042813,            0.074847,             0.02784,            0.008713,            0.008713,            0.008713
                  15,            0.041655,            0.043923,            0.021875,             0.59291,             0.31867,             0.33862,             0.19201,            0.041804,            0.071476,            0.026731,            0.008614,            0.008614,            0.008614
                  16,            0.041484,            0.044361,            0.021132,             0.58351,             0.33824,             0.34988,             0.19163,            0.044383,            0.074924,            0.026955,            0.008515,            0.008515,            0.008515
                  17,            0.041559,            0.044888,            0.020861,             0.64373,             0.32886,             0.31732,             0.17945,            0.041936,            0.075946,            0.027899,            0.008416,            0.008416,            0.008416
                  18,            0.040567,            0.043608,            0.020663,             0.67934,             0.32099,             0.35676,             0.20044,            0.043335,            0.074406,             0.02696,            0.008317,            0.008317,            0.008317
                  19,            0.040701,            0.044047,            0.020381,             0.66347,             0.32134,             0.32146,             0.17626,             0.04309,             0.07694,            0.026571,            0.008218,            0.008218,            0.008218
                  20,            0.040231,            0.043515,            0.019807,             0.68269,             0.32926,             0.34895,             0.19514,             0.04192,            0.074849,            0.025394,            0.008119,            0.008119,            0.008119
                  21,            0.039982,            0.043161,            0.019497,              0.6638,             0.32457,             0.34542,             0.18744,             0.04291,            0.076595,             0.02715,             0.00802,             0.00802,             0.00802
                  22,            0.039491,            0.043205,            0.019299,             0.68762,             0.33379,             0.36794,             0.20801,            0.040964,            0.076475,            0.026917,            0.007921,            0.007921,            0.007921
                  23,            0.039156,            0.042496,            0.018964,             0.67164,             0.33165,             0.33802,             0.18942,            0.041904,            0.078115,            0.026419,            0.007822,            0.007822,            0.007822
                  24,            0.039344,            0.042261,            0.018808,             0.67911,             0.32746,             0.33809,             0.19206,            0.041829,            0.079213,            0.028278,            0.007723,            0.007723,            0.007723
                  25,            0.038914,            0.041858,            0.018409,             0.66939,             0.33099,             0.35912,             0.20727,            0.041448,            0.078066,            0.028081,            0.007624,            0.007624,            0.007624
                  26,            0.038648,            0.041631,            0.017644,             0.66656,             0.32576,             0.35729,             0.20405,            0.042634,            0.078156,            0.028022,            0.007525,            0.007525,            0.007525
                  27,            0.037939,             0.04113,            0.017591,             0.67669,             0.33149,             0.36108,             0.21378,            0.041377,            0.077708,            0.026419,            0.007426,            0.007426,            0.007426
                  28,             0.03793,            0.041658,            0.017665,             0.65664,             0.33154,             0.34205,             0.20044,            0.041399,            0.077393,            0.026732,            0.007327,            0.007327,            0.007327
